Timestamp,Outdoor Temperature (°C),Outdoor Humidity (%),Bedroom_Temperature (°C),Indoor Humidity (%),Bedroom Absolute Humidity,Fan_1_Power (W),Fan_2_Power (W),LED_Tube_Lights_Power (W),Smart_TV_Power (W),AC_Power (W),Bedroom_Total_Power (W),Bedroom Energy (kWh),Bedroom_In_Use,Ports_Power (W),Small_Lights_Power (W),Room_Heater_Power (W),Weekday
2024-01-01 00:00:00,15,64.5,16,70.4,9.61,0,0,0,0,0,0,0,TRUE,0,0,0,Monday
2024-01-01 01:00:00,13.5,62.3,14.6,69.9,8.76,0,0,0,0,0,0,0,TRUE,1.94974682,0,0,Monday
2024-01-01 02:00:00,13.8,66.2,14.5,73.8,9.19,0,0,0,0,0,0,0,TRUE,0,0,0,Monday
2024-01-01 03:00:00,14.2,65.4,15.6,70.7,9.41,0,0,0,0,0,0,0,TRUE,0,0,0,Monday
2024-01-01 04:00:00,12.4,69.9,13.4,74.1,8.63,0,0,27.9,0,0,27.9,0.028,TRUE,0,0,0,Monday
2024-01-01 05:00:00,13.9,67.6,15.3,74.1,9.65,0,0,55.1,0,0,55.1,0.055,TRUE,0,0,0,Monday
2024-01-01 06:00:00,13.5,71.3,14.9,77.8,9.94,0,0,47.8,0,0,47.8,0.048,TRUE,0,5.937536567,0,Monday
2024-01-01 07:00:00,16.8,73.1,17.9,78.4,11.97,0,0,55.3,0,0,55.3,0.055,TRUE,1.018492748,2.484811539,0,Monday
2024-01-01 08:00:00,15.5,69.9,16.2,73.9,10.19,0,0,56,0,0,56,0.056,TRUE,0,6.005503162,0,Monday
2024-01-01 09:00:00,16,72.1,17.4,78,11.58,0,0,48.6,0,0,48.6,0.049,TRUE,0,0,0,Monday
2024-01-01 10:00:00,13,69.4,14.3,65.6,8.04,0,0,0,0,0,0,0,FALSE,0,0,0,Monday
2024-01-01 11:00:00,10.9,67,11.6,75,7.8,0,0,0,0,0,0,0,FALSE,0,27.41746396,0,Monday
2024-01-01 12:00:00,14.6,63.5,15.2,71.1,9.21,0,0,0,0,0,0,0,FALSE,0,0,1441.921936,Monday
2024-01-01 13:00:00,13.9,67.3,15.2,64,8.31,0,0,0,0,0,0,0,FALSE,0,18.70252192,1483.616221,Monday
2024-01-01 14:00:00,15.5,65.7,16.2,70.6,9.71,0,0,0,0,0,0,0,FALSE,1.235482595,5.984609647,1056.72717,Monday
2024-01-01 15:00:00,14.5,67,15.8,63.5,8.55,0,0,0,0,0,0,0,FALSE,1.683154144,14.52595264,1407.941413,Monday
2024-01-01 16:00:00,11.8,69.7,12.9,75.5,8.48,0,0,0,0,0,0,0,FALSE,0,18.22896459,0,Monday
2024-01-01 17:00:00,16.1,65.5,17.1,69.3,10.05,0,0,0,0,0,0,0,FALSE,1.277746015,4.79352828,0,Monday
2024-01-01 18:00:00,12.9,68.1,14.4,73.1,9.02,0,0,0,0,0,0,0,FALSE,2.777848796,0,0,Monday
2024-01-01 19:00:00,13,58.1,13.8,63.1,7.53,0,0,38,283.8,0,321.7,0.322,TRUE,0,0,0,Monday
2024-01-01 20:00:00,14.6,61.4,15.6,68.4,9.11,0,0,33.4,249.7,0,283.1,0.283,TRUE,0,11.51207177,0,Monday
2024-01-01 21:00:00,15.1,60.9,16.3,59,8.2,0,0,20.3,256.3,0,276.6,0.277,TRUE,0,11.68298423,1489.579437,Monday
2024-01-01 22:00:00,15.9,75,16.7,79.5,11.31,0,0,43.5,251.7,0,295.2,0.295,TRUE,0,0,1454.922146,Monday
2024-01-01 23:00:00,15.5,63.4,16.7,70.7,10.05,0,0,0,278.1,0,278.1,0.278,TRUE,0,0,1289.41064,Monday
2024-01-02 00:00:00,15.6,68.7,16.2,65.1,8.99,0,0,0,0,0,0,0,TRUE,0,0,0,Tuesday
2024-01-02 01:00:00,13.3,63.8,14.1,62.5,7.59,0,0,24.5,0,0,24.5,0.025,TRUE,0,0,0,Tuesday
2024-01-02 02:00:00,14.9,72.6,15.8,80.3,10.78,0,0,0,0,0,0,0,TRUE,0,0,0,Tuesday
2024-01-02 03:00:00,15.7,62.2,16.3,69.4,9.62,0,0,0,0,0,0,0,TRUE,0,0,0,Tuesday
2024-01-02 04:00:00,12.3,65.4,13.5,71.1,8.3,0,0,21.8,0,0,21.8,0.022,TRUE,0,0,0,Tuesday
2024-01-02 05:00:00,11.3,66.6,12.3,62.6,6.77,0,0,41.1,0,0,41.1,0.041,TRUE,2.259261378,0,0,Tuesday
2024-01-02 06:00:00,11.4,72.3,12.4,70.1,7.65,0,0,45.5,0,0,45.5,0.045,TRUE,0,15.489648,0,Tuesday
